date,tag,asset,downloads
"2026-09-02","v0.3.0","HuddleOwl-0.3.0-arm64.dmg",3
"2026-09-02","v0.3.0","HuddleOwl-0.3.0-win-x64.exe",0
"2026-09-02","v0.3.0","HuddleOwl-0.3.0.dmg",0
"2026-09-02","v0.3.0","SHA256SUMS.txt",0
"2026-09-02","v0.2.0","HuddleOwl-0.2.0-arm64.dmg",6
"2026-09-02","v0.2.0","HuddleOwl-0.2.0-win-x64.exe",2
"2026-09-02","v0.2.0","HuddleOwl-0.2.0.dmg",1
"2026-09-02","v0.2.0","SHA256SUMS.txt",0
"2026-09-02","v0.1.9","HuddleOwl-0.1.9-arm64.dmg",9
"2026-09-02","v0.1.9","HuddleOwl-0.1.9-win-x64.exe",4
"2026-09-02","v0.1.9","HuddleOwl-0.1.9.dmg",4
"2026-09-02","v0.1.9","SHA256SUMS.txt",0
